video_title,publish_date,impressions,ctr_percent,views,avg_percent_viewed,subscribers_gained
Sample Video A (SYNTHETIC),2025-07-05,10000,3.0,300,38,5
Sample Video B (SYNTHETIC),2025-07-20,12000,2.8,336,35,4
Sample Video C (SYNTHETIC),2025-08-10,9000,3.4,306,40,6
Sample Video D (SYNTHETIC),2025-08-25,11000,3.1,341,37,5
Sample Video E (SYNTHETIC),2025-09-08,9500,3.6,342,41,7
Sample Video F (SYNTHETIC),2025-09-22,10500,3.2,336,39,5
Sample Video G (SYNTHETIC),2025-10-05,14000,6.0,980,45,18
Sample Video H (SYNTHETIC),2025-10-19,16000,5.6,1024,44,20
Sample Video I (SYNTHETIC),2025-11-02,13000,6.8,1014,48,22
Sample Video J (SYNTHETIC),2025-11-16,15000,6.2,1023,46,19
Sample Video K (SYNTHETIC),2025-11-30,12500,6.5,975,47,21
Sample Video L (SYNTHETIC),2025-12-14,14500,5.9,1015,45,20
