facility_id,mortality_measure_count,safety_measure_count,readmission_measure_count,patient_exp_measure_count,timely_effective_measure_count
010001,8,8,11,15,10
010005,8,8,11,15,10
010006,8,8,11,15,10
010007,8,8,11,15,10
010011,8,8,11,15,10
010012,8,8,11,15,10
010016,8,8,11,15,10
010018,8,8,11,15,10
010019,8,8,11,15,10
010021,8,8,11,15,10
010022,8,8,11,15,10
010023,8,8,11,15,10
010024,8,8,11,15,10
010029,8,8,11,15,10
010033,8,8,11,15,10
010034,8,8,11,15,10
010035,8,8,11,15,10
010036,8,8,11,15,10
010039,8,8,11,15,10
010040,8,8,11,15,10
010044,8,8,11,15,10
010045,8,8,11,15,10
010046,8,8,11,15,10
010049,8,8,11,15,10
010051,8,8,11,15,10
010052,8,8,11,15,10
010055,8,8,11,15,10
010056,8,8,11,15,10
010058,8,8,11,15,10
010061,8,8,11,15,10
010062,8,8,11,15,10
010065,8,8,11,15,10
010073,8,8,11,15,10
010078,8,8,11,15,10
010079,8,8,11,15,10
010083,8,8,11,15,10
010085,8,8,11,15,10
010086,8,8,11,15,10
010087,8,8,11,15,10
010089,8,8,11,15,10
010090,8,8,11,15,10
010091,8,8,11,15,10
010092,8,8,11,15,10
010095,8,8,11,15,10
010097,8,8,11,15,10
010099,8,8,11,15,10
010100,8,8,11,15,10
010101,8,8,11,15,10
010103,8,8,11,15,10
010104,8,8,11,15,10
010108,8,8,11,15,10
010110,8,8,11,15,10
010112,8,8,11,15,10
010113,8,8,11,15,10
010114,8,8,11,15,10
010118,8,8,11,15,10
010120,8,8,11,15,10
010125,8,8,11,15,10
010126,8,8,11,15,10
010128,8,8,11,15,10
010129,8,8,11,15,10
010130,8,8,11,15,10
010131,8,8,11,15,10
010138,8,8,11,15,10
010139,8,8,11,15,10
010144,8,8,11,15,10
010148,8,8,11,15,10
010149,8,8,11,15,10
01014F,8,8,11,15,10
010150,8,8,11,15,10
010157,8,8,11,15,10
010158,8,8,11,15,10
010164,8,8,11,15,10
010168,8,8,11,15,10
010169,8,8,11,15,10
010173,8,8,11,15,10
01019F,8,8,11,15,10
01021F,8,8,11,15,10
010779,,,,,
010780,,,,,
010781,,,,,
011300,8,8,11,15,10
011302,8,8,11,15,10
011304,8,8,11,15,10
011305,8,8,11,15,10
011306,8,8,11,15,10
011307,8,8,11,15,10
011308,8,8,11,15,10
011309,8,8,11,15,10
013300,,,,,
013301,,,,,
014000,,,,,
014006,,,,,
014007,,,,,
014012,,,,,
014014,,,,,
014015,,,,,
014016,,,,,
014017,,,,,
014018,,,,,
020001,8,8,11,15,10
020006,8,8,11,15,10
020008,8,8,11,15,10
020012,8,8,11,15,10
020017,8,8,11,15,10
020018,8,8,11,15,10
020024,8,8,11,15,10
020026,8,8,11,15,10
02013F,,,,,
02014F,,,,,
021301,8,8,11,15,10
021302,8,8,11,15,10
021304,8,8,11,15,10
021305,8,8,11,15,10
021306,8,8,11,15,10
021307,8,8,11,15,10
021308,8,8,11,15,10
021309,8,8,11,15,10
021310,8,8,11,15,10
021311,8,8,11,15,10
021312,8,8,11,15,10
021313,8,8,11,15,10
021314,8,8,11,15,10
024001,,,,,
024002,,,,,
030002,8,8,11,15,10
030006,8,8,11,15,10
030007,8,8,11,15,10
030010,8,8,11,15,10
030011,8,8,11,15,10
030012,8,8,11,15,10
030013,8,8,11,15,10
030014,8,8,11,15,10
030016,8,8,11,15,10
030022,8,8,11,15,10
030023,8,8,11,15,10
030024,8,8,11,15,10
030030,8,8,11,15,10
030036,8,8,11,15,10
030037,8,8,11,15,10
030038,8,8,11,15,10
030043,8,8,11,15,10
030055,8,8,11,15,10
030061,8,8,11,15,10
030062,8,8,11,15,10
030064,8,8,11,15,10
030065,8,8,11,15,10
030069,8,8,11,15,10
030071,8,8,11,15,10
030073,8,8,11,15,10
030074,8,8,11,15,10
030078,8,8,11,15,10
030083,8,8,11,15,10
030084,8,8,11,15,10
030085,8,8,11,15,10
030087,8,8,11,15,10
030088,8,8,11,15,10
030089,8,8,11,15,10
030092,8,8,11,15,10
030093,8,8,11,15,10
030094,8,8,11,15,10
030101,8,8,11,15,10
030103,8,8,11,15,10
030105,8,8,11,15,10
030107,8,8,11,15,10
030108,8,8,11,15,10
030110,8,8,11,15,10
030111,8,8,11,15,10
030112,8,8,11,15,10
030113,8,8,11,15,10
030114,8,8,11,15,10
030115,8,8,11,15,10
030117,8,8,11,15,10
030119,8,8,11,15,10
030121,8,8,11,15,10
030122,8,8,11,15,10
030123,8,8,11,15,10
03012F,8,8,11,15,10
030130,8,8,11,15,10
030134,8,8,11,15,10
030136,8,8,11,15,10
030138,8,8,11,15,10
030139,8,8,11,15,10
03013F,8,8,11,15,10
030146,8,8,11,15,10
030147,8,8,11,15,10
030148,8,8,11,15,10
030152,8,8,11,15,10
030153,8,8,11,15,10
030154,8,8,11,15,10
030155,8,8,11,15,10
030195,,,,,
03033F,8,8,11,15,10
031300,8,8,11,15,10
031301,8,8,11,15,10
031302,8,8,11,15,10
031304,8,8,11,15,10
031305,8,8,11,15,10
031307,8,8,11,15,10
031308,8,8,11,15,10
031309,8,8,11,15,10
031311,8,8,11,15,10
031312,8,8,11,15,10
031313,8,8,11,15,10
031314,8,8,11,15,10
031315,8,8,11,15,10
031317,8,8,11,15,10
031318,8,8,11,15,10
031319,8,8,11,15,10
031320,8,8,11,15,10
033302,,,,,
034004,,,,,
034013,,,,,
034020,,,,,
034021,,,,,
034022,,,,,
034023,,,,,
034024,,,,,
034025,,,,,
034026,,,,,
034027,,,,,
034028,,,,,
034029,,,,,
034030,,,,,
034031,,,,,
034032,,,,,
034033,,,,,
034034,,,,,
034035,,,,,
034038,,,,,
034040,,,,,
034041,,,,,
040001,8,8,11,15,10
040002,8,8,11,15,10
040004,8,8,11,15,10
040007,8,8,11,15,10
040010,8,8,11,15,10
040011,8,8,11,15,10
040014,8,8,11,15,10
040016,8,8,11,15,10
040017,8,8,11,15,10
040018,8,8,11,15,10
040019,8,8,11,15,10
040020,8,8,11,15,10
040022,8,8,11,15,10
040026,8,8,11,15,10
040027,8,8,11,15,10
040029,8,8,11,15,10
040036,8,8,11,15,10
040039,8,8,11,15,10
040041,8,8,11,15,10
040050,8,8,11,15,10
040051,8,8,11,15,10
040055,8,8,11,15,10
040062,8,8,11,15,10
040067,8,8,11,15,10
040069,8,8,11,15,10
040071,8,8,11,15,10
040072,8,8,11,15,10
040076,8,8,11,15,10
040078,8,8,11,15,10
040084,8,8,11,15,10
040088,8,8,11,15,10
04009F,8,8,11,15,10
04010F,8,8,11,15,10
040114,8,8,11,15,10
040118,8,8,11,15,10
040119,8,8,11,15,10
040132,8,8,11,15,10
040134,8,8,11,15,10
040137,8,8,11,15,10
040147,8,8,11,15,10
040153,8,8,11,15,10
040154,8,8,11,15,10
040156,8,8,11,15,10
040161,8,8,11,15,10
040164,8,8,11,15,10
040779,,,,,
040780,,,,,
040781,,,,,
040782,,,,,
040783,,,,,
041300,8,8,11,15,10
041302,8,8,11,15,10
041303,8,8,11,15,10
041305,8,8,11,15,10
041306,8,8,11,15,10
041307,8,8,11,15,10
041308,8,8,11,15,10
041309,8,8,11,15,10
041310,8,8,11,15,10
041311,8,8,11,15,10
041312,8,8,11,15,10
041313,8,8,11,15,10
041317,8,8,11,15,10
041318,8,8,11,15,10
041320,8,8,11,15,10
041321,8,8,11,15,10
041322,8,8,11,15,10
041323,8,8,11,15,10
041324,8,8,11,15,10
041326,8,8,11,15,10
041327,8,8,11,15,10
041328,8,8,11,15,10
041329,8,8,11,15,10
041330,8,8,11,15,10
041331,8,8,11,15,10
041332,8,8,11,15,10
041333,,,,,
041334,8,8,11,15,10
041335,,,,,
043300,,,,,
043301,,,,,
044004,,,,,
044005,,,,,
044006,,,,,
044007,,,,,
044011,,,,,
044017,,,,,
044019,,,,,
044020,,,,,
044021,,,,,
044022,,,,,
050002,8,8,11,15,10
050006,8,8,11,15,10
050007,8,8,11,15,10
050008,8,8,11,15,10
050009,8,8,11,15,10
050013,8,8,11,15,10
050014,8,8,11,15,10
050017,8,8,11,15,10
050022,8,8,11,15,10
050024,8,8,11,15,10
050025,8,8,11,15,10
050026,8,8,11,15,10
050028,8,8,11,15,10
050030,8,8,11,15,10
050036,8,8,11,15,10
050038,8,8,11,15,10
050039,8,8,11,15,10
050040,8,8,11,15,10
050042,8,8,11,15,10
050043,8,8,11,15,10
050045,8,8,11,15,10
050047,8,8,11,15,10
050054,8,8,11,15,10
050055,8,8,11,15,10
050056,8,8,11,15,10
050057,8,8,11,15,10
050058,8,8,11,15,10
050060,8,8,11,15,10
050063,8,8,11,15,10
050067,8,8,11,15,10
050069,8,8,11,15,10
050070,8,8,11,15,10
050071,8,8,11,15,10
050072,8,8,11,15,10
050073,8,8,11,15,10
050075,8,8,11,15,10
050076,8,8,11,15,10
050077,8,8,11,15,10
050078,8,8,11,15,10
050082,8,8,11,15,10
050084,8,8,11,15,10
050089,8,8,11,15,10
050090,8,8,11,15,10
050091,8,8,11,15,10
050093,8,8,11,15,10
050099,8,8,11,15,10
050100,8,8,11,15,10
050101,8,8,11,15,10
050102,8,8,11,15,10
050103,8,8,11,15,10
050104,8,8,11,15,10
050107,8,8,11,15,10
050108,8,8,11,15,10
050110,8,8,11,15,10
050112,8,8,11,15,10
050113,8,8,11,15,10
050115,8,8,11,15,10
050116,8,8,11,15,10
050118,8,8,11,15,10
050121,8,8,11,15,10
050122,8,8,11,15,10
050124,8,8,11,15,10
050125,8,8,11,15,10
050126,8,8,11,15,10
050127,8,8,11,15,10
050128,8,8,11,15,10
050129,8,8,11,15,10
050131,8,8,11,15,10
050132,8,8,11,15,10
050133,8,8,11,15,10
050135,8,8,11,15,10
050136,8,8,11,15,10
050137,8,8,11,15,10
050138,8,8,11,15,10
050139,8,8,11,15,10
050140,8,8,11,15,10
050145,8,8,11,15,10
050149,8,8,11,15,10
050150,8,8,11,15,10
050152,8,8,11,15,10
050158,8,8,11,15,10
050159,8,8,11,15,10
05015F,,,,,
050167,8,8,11,15,10
050168,8,8,11,15,10
050169,8,8,11,15,10
050174,8,8,11,15,10
050179,8,8,11,15,10
050180,8,8,11,15,10
050191,8,8,11,15,10
050192,8,8,11,15,10
050194,8,8,11,15,10
050195,8,8,11,15,10
050197,8,8,11,15,10
050204,8,8,11,15,10
05020F,,,,,
050211,8,8,11,15,10
050222,8,8,11,15,10
050224,8,8,11,15,10
050226,8,8,11,15,10
050228,8,8,11,15,10
05022F,,,,,
050230,8,8,11,15,10
050231,8,8,11,15,10
050232,8,8,11,15,10
050234,8,8,11,15,10
050235,8,8,11,15,10
050236,8,8,11,15,10
050238,8,8,11,15,10
050239,8,8,11,15,10
050242,8,8,11,15,10
050243,8,8,11,15,10
050245,8,8,11,15,10
050248,8,8,11,15,10
050254,8,8,11,15,10
050257,8,8,11,15,10
05025F,8,8,11,15,10
050261,8,8,11,15,10
050262,8,8,11,15,10
050272,8,8,11,15,10
050276,8,8,11,15,10
050278,8,8,11,15,10
050279,8,8,11,15,10
05027F,8,8,11,15,10
050280,8,8,11,15,10
050281,8,8,11,15,10
050283,8,8,11,15,10
050289,8,8,11,15,10
050290,8,8,11,15,10
050291,8,8,11,15,10
050292,8,8,11,15,10
050295,8,8,11,15,10
050298,8,8,11,15,10
050300,8,8,11,15,10
050301,8,8,11,15,10
050305,8,8,11,15,10
050308,8,8,11,15,10
050309,8,8,11,15,10
05030F,8,8,11,15,10
050313,8,8,11,15,10
050315,8,8,11,15,10
05031F,8,8,11,15,10
050320,8,8,11,15,10
050324,8,8,11,15,10
050327,8,8,11,15,10
050329,8,8,11,15,10
050334,8,8,11,15,10
050335,8,8,11,15,10
050336,8,8,11,15,10
050342,8,8,11,15,10
050348,8,8,11,15,10
050350,8,8,11,15,10
050351,8,8,11,15,10
050352,8,8,11,15,10
050353,8,8,11,15,10
050357,8,8,11,15,10
050360,8,8,11,15,10
050367,8,8,11,15,10
050373,8,8,11,15,10
050376,8,8,11,15,10
050378,8,8,11,15,10
050380,8,8,11,15,10
050382,8,8,11,15,10
050390,8,8,11,15,10
050393,8,8,11,15,10
050394,8,8,11,15,10
050396,8,8,11,15,10
05039F,,,,,
050407,8,8,11,15,10
050411,8,8,11,15,10
050414,8,8,11,15,10
050417,8,8,11,15,10
05041F,,,,,
050424,8,8,11,15,10
050425,8,8,11,15,10
050426,8,8,11,15,10
050438,8,8,11,15,10
050441,8,8,11,15,10
050444,8,8,11,15,10
050454,8,8,11,15,10
050455,8,8,11,15,10
050457,8,8,11,15,10
050464,8,8,11,15,10
050468,8,8,11,15,10
050471,8,8,11,15,10
050481,8,8,11,15,10
050485,8,8,11,15,10
050488,8,8,11,15,10
050492,8,8,11,15,10
050496,8,8,11,15,10
050498,8,8,11,15,10
050503,8,8,11,15,10
050506,8,8,11,15,10
050510,8,8,11,15,10
050512,8,8,11,15,10
050515,8,8,11,15,10
050516,8,8,11,15,10
050517,8,8,11,15,10
050523,8,8,11,15,10
050526,8,8,11,15,10
050528,8,8,11,15,10
050534,8,8,11,15,10
050537,8,8,11,15,10
050541,8,8,11,15,10
050543,8,8,11,15,10
050546,,,,,
050549,8,8,11,15,10
050551,8,8,11,15,10
050557,8,8,11,15,10
050561,8,8,11,15,10
050567,8,8,11,15,10
050570,8,8,11,15,10
050573,8,8,11,15,10
050580,8,8,11,15,10
050581,8,8,11,15,10
050586,8,8,11,15,10
050588,8,8,11,15,10
050590,8,8,11,15,10
050597,8,8,11,15,10
050599,8,8,11,15,10
050603,8,8,11,15,10
050604,8,8,11,15,10
050608,8,8,11,15,10
050609,8,8,11,15,10
050624,8,8,11,15,10
050625,8,8,11,15,10
050633,8,8,11,15,10
050636,8,8,11,15,10
050641,8,8,11,15,10
050663,8,8,11,15,10
050668,8,8,11,15,10
050674,8,8,11,15,10
050677,8,8,11,15,10
050678,8,8,11,15,10
050684,8,8,11,15,10
050686,8,8,11,15,10
050689,8,8,11,15,10
050690,8,8,11,15,10
050696,8,8,11,15,10
050697,8,8,11,15,10
050701,8,8,11,15,10
050704,8,8,11,15,10
050708,8,8,11,15,10
050709,8,8,11,15,10
050710,8,8,11,15,10
050714,8,8,11,15,10
050717,8,8,11,15,10
050723,8,8,11,15,10
050726,8,8,11,15,10
050735,8,8,11,15,10
050736,8,8,11,15,10
050737,8,8,11,15,10
050738,8,8,11,15,10
050739,8,8,11,15,10
050740,8,8,11,15,10
